,0, .05, .1, .15, 0.2, .25,.3,.35, 0.4, .45, .5, .55, 0.6, .65, .7, .75, 0.8, .85, .9, .95, 1
Errores, 5,2.6,1.5,1.6,1.4,1.5,1.4,1.4,1.5,1.3,0,0,0,0,0,0,0,0,0
Aciertos, 0,0,0,0,0,0,0,0,0,0,0,0,0,.3,.3,0,.3,.3,.4,.5,18
